Display name,Schedule (UTC)
aggregate-addresses-by-day,every day 02:15
aggregate-oracles-transactions-by-day,every day 02:15
aggregate-stable-token-active-addresses,every day 20:00
aggregate-stable-token-transfers,every day 01:05
aggregate-stable-token-transfers-buckets-by-day,every day 00:15
aggregate-token-stats-by-day,every day 01:00
aggregate-transactions-by-day,every 8 hours
aggregate-verified-contracts-by-day,every day 00:15
aggregate-verified-transactions-by-day,every day 00:15
sync-address-token-balances,every day 09:49
sync-celo-epoch-rewards,every 1 hours
sync-celo-params,every 1 hours
sync-celo-validator,every 1 hours
sync-celo-wallets,every day 14:49
sync-community-fund,every 8 hours
sync-incremental-blocks,every 1 hours
sync-incremental-token-tranfers,every day 00:15
sync-market-history,every 1 hours
sync-new-addresses,every 1 hours
sync-reserve-assets,every day 00:01
sync-smart-contracts,every day 01:15
sync-tokens,every 1 hours